#options: 1918x956 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=30 lookahead_threads=7 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=800 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=900 vbv_bufsize=1600 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:34 out:34 type:B dur:2 cpbdur:2 q:43.82 aq:42.00 tex:0 mv:0 misc:376 imb:0 pmb:0 smb:7200 d:s ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:43.81 aq:43.00 tex:0 mv:0 misc:360 imb:0 pmb:0 smb:7200 d:s ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:43.84 aq:45.00 tex:0 mv:0 misc:360 imb:0 pmb:0 smb:7200 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:45.81 aq:37.00 tex:0 mv:0 misc:368 imb:0 pmb:0 smb:7200 d:s ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:45.80 aq:45.00 tex:0 mv:0 misc:376 imb:0 pmb:0 smb:7200 d:s ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:45.79 aq:47.00 tex:0 mv:0 misc:360 imb:0 pmb:0 smb:7200 d:s ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:45.81 aq:48.00 tex:0 mv:0 misc:360 imb:0 pmb:0 smb:7200 d:- ref:0 ;
in:44 out:41 type:P dur:2 cpbdur:2 q:42.69 aq:28.86 tex:12190 mv:822 misc:764 imb:153 pmb:29 smb:7018 d:s ref:0 ;
in:42 out:42 type:B dur:2 cpbdur:2 q:45.95 aq:42.68 tex:26 mv:53 misc:473 imb:1 pmb:42 smb:7157 d:s ref:0 ;
in:41 out:43 type:b dur:2 cpbdur:2 q:45.96 aq:47.31 tex:61 mv:48 misc:443 imb:0 pmb:44 smb:7156 d:s ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:45.93 aq:45.00 tex:0 mv:0 misc:360 imb:0 pmb:0 smb:7200 d:- ref:0 ;
in:48 out:45 type:P dur:2 cpbdur:2 q:41.36 aq:29.61 tex:12243 mv:531 misc:1178 imb:26 pmb:172 smb:7002 d:s ref:0 ;
in:46 out:46 type:B dur:2 cpbdur:2 q:43.17 aq:39.64 tex:25 mv:31 misc:416 imb:1 pmb:8 smb:7191 d:s ref:0 ;
in:45 out:47 type:b dur:2 cpbdur:2 q:43.50 aq:44.00 tex:1 mv:8 misc:367 imb:0 pmb:2 smb:7198 d:s ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:43.48 aq:42.00 tex:0 mv:3 misc:365 imb:0 pmb:1 smb:7199 d:- ref:0 ;
in:52 out:49 type:P dur:2 cpbdur:2 q:40.79 aq:26.96 tex:22139 mv:596 misc:1377 imb:44 pmb:365 smb:6791 d:s ref:0 ;
in:50 out:50 type:B dur:2 cpbdur:2 q:41.76 aq:38.00 tex:0 mv:0 misc:376 imb:0 pmb:0 smb:7200 d:s ref:0 ;
in:49 out:51 type:b dur:2 cpbdur:2 q:42.00 aq:41.00 tex:0 mv:0 misc:360 imb:0 pmb:0 smb:7200 d:s ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:41.98 aq:40.00 tex:0 mv:0 misc:360 imb:0 pmb:0 smb:7200 d:- ref:0 ;
in:56 out:53 type:P dur:2 cpbdur:2 q:40.44 aq:30.02 tex:27120 mv:1005 misc:1515 imb:159 pmb:363 smb:6678 d:s ref:0 ;
in:54 out:54 type:B dur:2 cpbdur:2 q:41.15 aq:36.00 tex:0 mv:0 misc:376 imb:0 pmb:0 smb:7200 d:s ref:0 ;
in:53 out:55 type:b dur:2 cpbdur:2 q:41.45 aq:39.00 tex:0 mv:0 misc:360 imb:0 pmb:0 smb:7200 d:s ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:41.43 aq:38.00 tex:0 mv:0 misc:360 imb:0 pmb:0 smb:7200 d:- ref:0 ;
in:60 out:57 type:P dur:2 cpbdur:2 q:40.25 aq:28.46 tex:23801 mv:1178 misc:1717 imb:165 pmb:338 smb:6697 d:s ref:0 ;
in:58 out:58 type:B dur:2 cpbdur:2 q:41.29 aq:35.00 tex:0 mv:0 misc:376 imb:0 pmb:0 smb:7200 d:s ref:0 ;
in:57 out:59 type:b dur:2 cpbdur:2 q:41.66 aq:37.00 tex:0 mv:0 misc:360 imb:0 pmb:0 smb:7200 d:s ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:41.65 aq:36.00 tex:0 mv:0 misc:360 imb:0 pmb:0 smb:7200 d:- ref:0 ;
in:64 out:61 type:P dur:2 cpbdur:2 q:39.42 aq:29.10 tex:26768 mv:1094 misc:1882 imb:98 pmb:470 smb:6632 d:s ref:0 ;
in:62 out:62 type:B dur:2 cpbdur:2 q:40.99 aq:33.00 tex:0 mv:6 misc:378 imb:0 pmb:2 smb:7198 d:s ref:0 ;
in:61 out:63 type:b dur:2 cpbdur:2 q:41.36 aq:36.00 tex:0 mv:0 misc:360 imb:0 pmb:0 smb:7200 d:s ref:0 ;
in:63 out:64 type:b dur:2 cpbdur:2 q:41.34 aq:35.00 tex:0 mv:3 misc:365 imb:0 pmb:1 smb:7199 d:- ref:0 ;
in:68 out:65 type:P dur:2 cpbdur:2 q:39.27 aq:31.47 tex:27974 mv:827 misc:1735 imb:96 pmb:343 smb:6761 d:s ref:0 ;
in:66 out:66 type:B dur:2 cpbdur:2 q:40.19 aq:32.00 tex:5 mv:42 misc:457 imb:0 pmb:30 smb:7170 d:s ref:0 ;
in:65 out:67 type:b dur:2 cpbdur:2 q:40.59 aq:33.58 tex:21 mv:76 misc:431 imb:1 pmb:21 smb:7178 d:s ref:0 ;
in:67 out:68 type:b dur:2 cpbdur:2 q:40.55 aq:34.00 tex:0 mv:6 misc:370 imb:0 pmb:2 smb:7198 d:- ref:0 ;
in:72 out:69 type:P dur:2 cpbdur:2 q:38.37 aq:29.17 tex:25466 mv:1257 misc:1893 imb:116 pmb:368 smb:6716 d:- ref:0 ;
in:70 out:70 type:B dur:2 cpbdur:2 q:39.65 aq:31.04 tex:3566 mv:551 misc:483 imb:14 pmb:39 smb:7147 d:s ref:0 ;
in:69 out:71 type:b dur:2 cpbdur:2 q:40.06 aq:33.00 tex:7 mv:49 misc:456 imb:0 pmb:38 smb:7162 d:s ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:40.05 aq:31.45 tex:34 mv:83 misc:443 imb:2 pmb:30 smb:7168 d:- ref:0 ;
in:76 out:73 type:P dur:2 cpbdur:2 q:39.89 aq:31.92 tex:24010 mv:575 misc:751 imb:49 pmb:160 smb:6991 d:s ref:0 ;
in:74 out:74 type:B dur:2 cpbdur:2 q:40.49 aq:30.44 tex:72 mv:20 misc:404 imb:0 pmb:8 smb:7192 d:s ref:0 ;
in:73 out:75 type:b dur:2 cpbdur:2 q:40.82 aq:32.00 tex:3 mv:10 misc:371 imb:0 pmb:5 smb:7195 d:s ref:0 ;
in:75 out:76 type:b dur:2 cpbdur:2 q:40.81 aq:32.00 tex:0 mv:0 misc:352 imb:0 pmb:0 smb:7200 d:- ref:0 ;
in:80 out:77 type:P dur:2 cpbdur:2 q:37.72 aq:28.39 tex:38338 mv:1424 misc:1854 imb:206 pmb:454 smb:6540 d:s ref:0 ;
in:78 out:78 type:B dur:2 cpbdur:2 q:40.23 aq:29.00 tex:11 mv:46 misc:447 imb:0 pmb:44 smb:7156 d:s ref:0 ;
in:77 out:79 type:b dur:2 cpbdur:2 q:40.56 aq:31.00 tex:8 mv:43 misc:429 imb:0 pmb:44 smb:7156 d:s ref:0 ;
in:79 out:80 type:b dur:2 cpbdur:2 q:40.55 aq:31.00 tex:0 mv:0 misc:352 imb:0 pmb:0 smb:7200 d:- ref:0 ;
in:84 out:81 type:P dur:2 cpbdur:2 q:36.68 aq:25.39 tex:55712 mv:1200 misc:2624 imb:94 pmb:810 smb:6296 d:s ref:0 ;
in:82 out:82 type:B dur:2 cpbdur:2 q:38.08 aq:17.56 tex:28 mv:7 misc:381 imb:0 pmb:2 smb:7198 d:s ref:0 ;
in:81 out:83 type:b dur:2 cpbdur:2 q:38.46 aq:18.66 tex:28 mv:5 misc:359 imb:0 pmb:1 smb:7199 d:s ref:0 ;
in:83 out:84 type:b dur:2 cpbdur:2 q:38.46 aq:30.00 tex:0 mv:0 misc:352 imb:0 pmb:0 smb:7200 d:- ref:0 ;
in:88 out:85 type:P dur:2 cpbdur:2 q:34.88 aq:24.62 tex:111529 mv:4261 misc:3538 imb:513 pmb:1283 smb:5404 d:s ref:0 ;
in:86 out:86 type:B dur:2 cpbdur:2 q:37.04 aq:27.62 tex:21 mv:77 misc:438 imb:1 pmb:42 smb:7157 d:s ref:0 ;
in:85 out:87 type:b dur:2 cpbdur:2 q:37.44 aq:17.66 tex:28 mv:5 misc:359 imb:0 pmb:1 smb:7199 d:s ref:0 ;
in:87 out:88 type:b dur:2 cpbdur:2 q:37.44 aq:19.15 tex:3372 mv:244 misc:464 imb:4 pmb:63 smb:7133 d:- ref:0 ;
in:92 out:89 type:P dur:2 cpbdur:2 q:33.92 aq:24.54 tex:87208 mv:2672 misc:3344 imb:250 pmb:1076 smb:5874 d:s ref:0 ;
in:90 out:90 type:B dur:2 cpbdur:2 q:35.26 aq:12.81 tex:55 mv:47 misc:458 imb:0 pmb:28 smb:7172 d:s ref:0 ;
in:89 out:91 type:b dur:2 cpbdur:2 q:35.51 aq:30.72 tex:231 mv:63 misc:426 imb:1 pmb:21 smb:7178 d:s ref:0 ;
in:91 out:92 type:b dur:2 cpbdur:2 q:35.51 aq:30.00 tex:0 mv:0 misc:352 imb:0 pmb:0 smb:7200 d:- ref:0 ;
in:96 out:93 type:P dur:2 cpbdur:2 q:32.99 aq:20.14 tex:96273 mv:3669 misc:3946 imb:363 pmb:1341 smb:5496 d:s ref:0 ;
in:94 out:94 type:B dur:2 cpbdur:2 q:34.31 aq:20.94 tex:533 mv:129 misc:498 imb:1 pmb:40 smb:7159 d:s ref:0 ;
in:93 out:95 type:b dur:2 cpbdur:2 q:34.61 aq:29.09 tex:27 mv:95 misc:422 imb:2 pmb:28 smb:7170 d:s ref:0 ;
in:95 out:96 type:b dur:2 cpbdur:2 q:34.56 aq:30.00 tex:1 mv:11 misc:380 imb:0 pmb:5 smb:7195 d:- ref:0 ;
in:100 out:97 type:P dur:2 cpbdur:2 q:31.91 aq:22.20 tex:74977 mv:2206 misc:3641 imb:188 pmb:1262 smb:5750 d:s ref:0 ;
in:98 out:98 type:B dur:2 cpbdur:2 q:33.23 aq:18.96 tex:86 mv:15 misc:411 imb:0 pmb:5 smb:7195 d:s ref:0 ;
in:97 out:99 type:b dur:2 cpbdur:2 q:33.57 aq:23.06 tex:35 mv:9 misc:372 imb:0 pmb:2 smb:7198 d:s ref:0 ;
in:99 out:100 type:b dur:2 cpbdur:2 q:33.55 aq:30.00 tex:0 mv:0 misc:352 imb:0 pmb:0 smb:7200 d:- ref:0 ;
in:104 out:101 type:P dur:2 cpbdur:2 q:31.42 aq:20.80 tex:64935 mv:1864 misc:3153 imb:199 pmb:1066 smb:5935 d:s ref:0 ;
in:102 out:102 type:B dur:2 cpbdur:2 q:32.18 aq:17.42 tex:65 mv:10 misc:397 imb:0 pmb:3 smb:7197 d:s ref:0 ;
in:101 out:103 type:b dur:2 cpbdur:2 q:32.36 aq:30.00 tex:0 mv:0 misc:352 imb:0 pmb:0 smb:7200 d:s ref:0 ;
in:103 out:104 type:b dur:2 cpbdur:2 q:32.36 aq:30.00 tex:0 mv:0 misc:352 imb:0 pmb:0 smb:7200 d:- ref:0 ;
in:108 out:105 type:P dur:2 cpbdur:2 q:30.91 aq:21.50 tex:90504 mv:1648 misc:2840 imb:97 pmb:1178 smb:5925 d:s ref:0 ;
in:106 out:106 type:B dur:2 cpbdur:2 q:31.86 aq:18.24 tex:10373 mv:680 misc:523 imb:9 pmb:62 smb:7129 d:s ref:0 ;
in:105 out:107 type:b dur:2 cpbdur:2 q:32.22 aq:29.44 tex:65 mv:84 misc:459 imb:1 pmb:47 smb:7152 d:s ref:0 ;
in:107 out:108 type:b dur:2 cpbdur:2 q:32.21 aq:29.53 tex:34 mv:48 misc:454 imb:0 pmb:42 smb:7158 d:- ref:0 ;
in:112 out:109 type:P dur:2 cpbdur:2 q:30.07 aq:19.18 tex:87972 mv:2074 misc:3170 imb:125 pmb:1127 smb:5948 d:s ref:0 ;
